stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
503,10878,REDPATH AVE AT EGLINTON AVE EAST NORTH SIDE,,43.708209,-79.392866,,,,,1
504,11123,REDPATH AVE AT EGLINTON AVE EAST,,43.708101,-79.392947,,,,,1
505,11122,REDPATH AVE AT ERSKINE AVE SOUTH SIDE,,43.711607,-79.394334,,,,,1
506,10881,REDPATH AVE AT ERSKINE AVE,,43.711915,-79.394291,,,,,2
507,10879,REDPATH AVE AT ROEHAMPTON AVE,,43.708968,-79.393142,,,,,2
508,11110,REDPATH AVE AT ROEHAMPTON AVE,,43.709175,-79.393386,,,,,2
510,8069,RENFORTH DR AT EGLINTON AVE WEST,,43.666096,-79.587166,,,,,1
514,11346,RICHMOND ST EAST AT JARVIS ST WEST SIDE,,43.652798,-79.374107,,,,,1
515,11319,RICHMOND ST EAST AT SHERBOURNE ST WEST SIDE,,43.653344,-79.369563,,,,,1
520,6031,ROGERS RD AT KEELE ST,,43.68219,-79.471323,,,,,1
522,6991,ROYAL YORK RD AT DIXON RD,,43.699615,-79.533986,,,,,2
523,12175,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,,43.681704,-79.526478,,,,,2
526,8082,SENTINEL RD AT FINCH AVE WEST,,43.761193,-79.500227,,,,,1
527,4498,SENTINEL RD AT THE POND RD,,43.769916,-79.502298,,,,,1
528,10870,SEWELLS RD AT BRENYON WAY EAST SIDE,,43.807953,-79.215028,,,,,1
529,10873,SEWELLS RD AT BRENYON WAY,,43.80792,-79.215527,,,,,1
530,10871,SEWELLS RD AT MCLEVIN AVE,,43.810308,-79.213775,,,,,2
532,7172,SHEPPARD AVE EAST AT COMMONS DR,,43.775706,-79.320546,,,,,1
533,11025,SHEPPARD AVE EAST AT COMMONS DR,,43.775605,-79.320939,,,,,1
534,11669,SHEPPARD AVE EAST AT MEADOWVALE RD,,43.80818,-79.171104,,,,,2
535,13918,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,,43.775286,-79.322236,,,,,1
536,6069,SHEPPARD AVE WEST AT JANE ST EAST SIDE,,43.739369,-79.512583,,,,,2
537,6087,SHEPPARD AVE WEST AT SENTINEL RD,,43.743786,-79.491659,,,,,1
538,4598,SHEPPARD AVE WEST AT WILLIAM R ALLEN RD WEST SIDE,,43.750252,-79.463904,,,,,1
540,3117,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),,43.609729,-79.558438,,,,,1
541,9108,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,,43.610024,-79.558228,,,,,1
542,9109,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),,43.609785,-79.558022,,,,,1
543,11587,SHERWAY GARDENS RD AT SHERWAY GATE MALL),,43.609847,-79.557773,,,,,1
549,1262,MAIN ST AT DANFORTH AVE,,43.688037,-79.301635,,,,,2
550,11826,MAIN ST AT DANFORTH AVE,,43.687796,-79.301532,,,,,1
551,2855,MAIN ST AT DONCASTER AVE,,43.691558,-79.303255,,,,,2
552,1264,MAIN ST AT GERRARD ST EAST,,43.684061,-79.300315,,,,,1
553,13923,MAIN ST AT GERRARD ST EAST,,43.684182,-79.300207,,,,,1
556,11990,EXHIBITION LOOP,,43.635811,-79.416535,,,,,2
557,11989,EXHIBITION LOOP,,43.635967,-79.416408,,,,,2
558,13900,MARKHAM RD AT PASSMORE AVE NORTH SIDE,,43.831141,-79.250611,,,,,2
560,11331,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,,43.737241,-79.591714,,,,,1
561,5620,MARTIN GROVE RD AT JOHN GARLAND BLVD,,43.731919,-79.589166,,,,,1
562,5627,MARTIN GROVE RD AT MERCURY RD,,43.726119,-79.586894,,,,,1
563,7957,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,,43.726355,-79.586705,,,,,2
564,1286,2061 MCCOWAN RD,,43.795441,-79.261074,,,,,1
565,777,MCCOWAN RD AT BUSHBY DR NORTH SIDE,,43.774936,-79.252175,,,,,1
566,9993,MCCOWAN RD AT ELSON ST,,43.834965,-79.27602,,,,,1
567,9807,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,,43.83177,-79.2752,,,,,1
568,10577,MCCOWAN AVE AT STEELES AVE EAST SOUTH SIDE,,43.830294,-79.275161,,,,,1
569,9616,MCCOWAN RD AT TOWN CENTRE CRT,,43.774794,-79.252588,,,,,1
570,2874,1020 MCNICOLL AVE,,43.804303,-79.335709,,,,,1
571,12017,MCNICOLL AVE AT SILVER SPRINGS BLVD,,43.809896,-79.306447,,,,,1
572,12035,MCNICOLL AVE AT SILVER SPRINGS BLVD,,43.810154,-79.306225,,,,,1
573,9179,MCNICOLL AVE AT VICTORIA PARK AVE,,43.803924,-79.336632,,,,,1
574,6575,MEADOWVALE RD AT SHEPPARD AVE EAST,,43.808582,-79.171055,,,,,1
576,11415,MILITARY TRAIL AT MORNINGSIDE AVE,,43.789009,-79.193257,,,,,2
577,5753,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,,43.702117,-79.353246,,,,,1
578,4484,MILLWOOD RD AT OVERLEA BLVD,,43.70187,-79.35243,,,,,1
579,10947,MORNINGSIDE AVE AT CASEBRIDGE CT NORTH SIDE,,43.809249,-79.202734,,,,,1
580,11249,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,,43.813023,-79.205987,,,,,1
581,13906,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,,43.823402,-79.230475,,,,,1
582,14104,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,,43.826549,-79.232874,,,,,2
583,5755,MORNING STAR DR AT CATALPA RD,,43.719752,-79.643204,,,,,2
584,5756,MORNING STAR DR AT CATALPA RD,,43.720149,-79.643031,,,,,2
585,5758,MORNING STAR DR AT AIRPORT RD EAST SIDE,,43.709985,-79.649766,,,,,2
586,5759,MORNING STAR DR AT LANCASTER AVE,,43.712757,-79.647418,,,,,2
587,5760,MORNING STAR DR AT MANION RD,,43.71257,-79.647738,,,,,2
588,5763,MORNING STAR DR AT REINDEER DR WEST SIDE,,43.714132,-79.646964,,,,,2
589,5764,MORNING STAR DR AT REINDEER DR,,43.714642,-79.646501,,,,,2
590,5773,MORTIMER AVE AT COXWELL AVE WEST SIDE (EAST GEN HOSPITAL),,43.69056,-79.327056,,,,,1
592,11453,MT PLEASANT RD AT ELM AVE,,43.674617,-79.380314,,,,,1
593,11705,MT PLEASANT RD AT INGLEWOOD DR,,43.688233,-79.383464,,,,,1
594,10883,MT PLEASANT RD AT ST CLAIR AVE EAST SOUTH SIDE,,43.689963,-79.38325,,,,,1
595,1380,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,,43.81544,-79.227311,,,,,1
596,11667,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,,43.815638,-79.227412,,,,,1
597,5904,OAKWOOD AVE AT EGLINTON AVE SOUTH SIDE,,43.696926,-79.442725,,,,,1
598,5911,OAKWOOD AVE AT ROGERS RD,,43.687031,-79.438568,,,,,1
599,1419,OCONNOR DR AT PAPE AVE,,43.693124,-79.350439,,,,,1
600,4509,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,,43.673945,-79.463061,,,,,1
601,11583,OLD WESTON RD AT ST CLAIR AVE WEST,,43.673248,-79.462852,,,,,1
602,4508,OLD WESTON RD AT ST CLAIR AVE WEST,,43.673628,-79.463123,,,,,1
606,8008,OSSINGTON AVE AT BLOOR ST WEST,,43.661821,-79.425454,,,,,1
607,9857,OSSINGTON AVE AT BLOOR ST WEST,,43.662062,-79.425772,,,,,1
609,2979,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,,43.702452,-79.35223,,,,,2
610,8009,OVERLEA BLVD AT MILLWOOD RD,,43.702345,-79.352727,,,,,1
611,8011,OVERLEA BLVD AT THORNCLIFFE PARK DR (EAST),,43.70725,-79.344028,,,,,1
612,11846,PAPE AVE AT LIPTON AVE NORTH SIDE,,43.679891,-79.345139,,,,,1
613,4501,PAPE AVE AT OCONNOR DR NORTH SIDE,,43.693657,-79.350372,,,,,1
614,1451,PARLIAMENT ST AT CARLTON ST,,43.663906,-79.36772,,,,,2
615,1452,PARLIAMENT ST AT GERRARD ST EAST,,43.662048,-79.367169,,,,,2
616,13336,PASSMORE AVE AT MIDLAND AVE WEST SIDE,,43.820541,-79.295891,,,,,1
617,1453,PETER KAISER GATE AT STEELES AVE WEST,,43.774009,-79.526633,,,,,1
619,6698,PHARMACY AVE AT ELLESMERE RD,,43.758892,-79.310043,,,,,1
620,9885,PORT UNION RD AT ADENMORE RD NORTH SIDE,,43.781768,-79.13747,,,,,1
623,3587,FINCH AVE WEST AT DUFFERIN ST,,43.768624,-79.467298,,,,,1
624,13709,FINCH AVE WEST AT JANE ST,,43.757066,-79.518106,,,,,1
627,11200,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,,43.736705,-79.59245,,,,,1
628,12456,FINCH AVE WEST AT RUMIKE RD EAST SIDE,,43.749971,-79.551625,,,,,2
629,3613,FINCH AVE WEST AT SENLAC RD,,43.776326,-79.430344,,,,,1
630,9821,FINCH AVE WEST AT SENTINEL RD EAST SIDE,,43.761114,-79.499231,,,,,1
631,3622,FINCH AVE WEST AT WILMINGTON AVE,,43.770054,-79.460827,,,,,1
632,10210,FLEET ST AT BATHURST ST,,43.63647,-79.400131,,,,,1
638,2646,FRESHMEADOW DR AT DON MILLS RD,,43.809241,-79.358694,,,,,1
639,9116,FRESHMEADOW DR AT DON MILLS RD,,43.809161,-79.358829,,,,,1
640,9536,FRONT ST EAST AT BERKELEY ST,,43.651396,-79.363737,,,,,1
641,9406,FRONT ST WEST AT BAY ST EAST SIDE (UNION STATION),,43.645995,-79.378521,,,,,1
642,12491,GLEN RD AT SOUTH DR,,43.677754,-79.375178,,,,,2
643,7480,LAWSON RD AT KINGSTON RD (HIGHWAY 2A OVERPASS),,43.784126,-79.168334,,,,,1
644,6625,HIGHLAND CREEK OVERPASS AT KINGSTON RD,,43.784451,-79.168491,,,,,1
645,11560,HIGHLAND CREEK OVERPASS AT KINGSTON RD,,43.784282,-79.168278,,,,,1
646,11504,HIGHWAY 27 AT QUEENS PLATE DR (WOODBINE MALL),,43.722448,-79.597785,,,,,1
647,11084,HUMBER COLLEGE BLVD AT CARRIER DR,,43.737138,-79.610314,,,,,2
648,12196,HUMBER COLLEGE BLVD AT HUMBERLINE DR SOUTH SIDE,,43.731793,-79.608899,,,,,1
649,7861,HUMBER COLLEGE BLVD AT HUMBERLINE DR,,43.73228,-79.609412,,,,,1
650,12064,HUMBERLINE DR AT HUMBER COLLEGE BLVD WEST SIDE,,43.731956,-79.609689,,,,,1
651,11049,HUMBERLINE DR AT HUMBER COLLEGE BLVD,,43.731861,-79.609562,,,,,1
654,9901,ISLINGTON AVE AT BLOOR ST WEST NORTH SIDE,,43.64541,-79.523592,,,,,1
655,13363,ISLINGTON AVE AT BLOOR ST WEST,,43.644497,-79.523193,,,,,1
656,9902,ISLINGTON AVE AT BLOOR ST WEST,,43.644861,-79.523693,,,,,1
657,3772,ISLINGTON AVE AT CENTRAL PARK ROADWAY SOUTH SIDE,,43.648075,-79.525021,,,,,1
658,3791,ISLINGTON AVE AT FINCH AVE WEST,,43.745841,-79.568376,,,,,1
660,3863,JANE ST AT ANNETTE ST,,43.658168,-79.487997,,,,,1
661,3878,JANE ST AT TRETHEWEY DR,,43.697819,-79.502577,,,,,1
